Weighting,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,4232.40,3592.00,1,[370],1.357163667678833,1413.66,[2],163383614#4,122110075#1
A,500,1696.73,2088.00,1,[216],0.14612412452697754,1145.60,[0],-122066612#4,356102172#4
A,500,1756.80,1435.00,1,[285],0.08457040786743164,1368.50,[3],154986397#1,833500#2
A,500,2632.36,2148.00,1,[364],0.7491428852081299,21.01,[1],75313262#1,-122044808#0
A,500,3044.89,921.00,1,[285],0.20467567443847656,1.12,[3],4910570#2,783673#0
A,500,3627.39,1634.00,1,[364],0.6655702590942383,1345.21,[1],-155768295#0,27946566#3
A,500,2237.48,1319.00,1,[216],0.09307861328125,1158.60,[0],-122066624#0,-856282420#3
A,500,4709.34,876.00,1,[369],1.242565393447876,1045.68,[0],169251304#1,159238324#0
A,500,1639.60,374.00,1,[185],0.048041343688964844,991.77,[0],155105718#0,-190432831#7
A,500,4260.74,3650.00,1,[349],0.6370449066162109,1517.38,[1],4947758#3,592731129#0
A,500,4302.72,1562.00,1,[452],0.5434658527374268,1392.09,[1],-592421473#4,-141271864#0
A,500,1555.41,374.00,1,[311],0.07506299018859863,1081.51,[1],-847193371#2,-28091024#2
A,500,5894.31,4132.00,1,[495],1.0829284191131592,737.44,[1],172667671,-27944075#2
A,500,3374.88,854.00,1,[242],0.6250367164611816,1193.90,[1],378559843#1,27943883#0
A,500,3642.84,1751.00,1,[336],0.5394628047943115,3117.11,[1],165515233,-23118342#5
A,500,4493.91,1741.00,1,[311],1.1785109043121338,2237.20,[1],-27934802#0,-592421473#2
A,500,419.96,188.00,1,[172],0.011009454727172852,1012.19,[1],163566213#7,-739936170
A,500,2969.59,2819.00,1,[273],0.11910223960876465,1305.35,[1],79707639#1,171879649#1
A,500,50.81,14.00,0,[],0.22519302368164062,489.31,[],-169231557#0,79707634#3
A,500,17.59,8.00,0,[],0.17264819145202637,496.44,[],28022559#1,-4947758#2
A,500,2915.14,758.00,1,[336],0.19216465950012207,1303.32,[1],195773784#0,250151469
A,500,3149.40,1132.00,1,[495],0.3287820816040039,1301.11,[1],100872801#0,156340396#4
A,500,4876.86,1827.00,1,[347],1.3791828155517578,1388.93,[1],-196371314#0,155105717#2
A,500,992.71,400.00,1,[329],0.025020122528076172,1159.69,[0],383042884#0,260284293
A,500,2397.35,932.00,1,[311],0.45238685607910156,1212.08,[1],-163382999#8,28022558
A,500,4321.56,1235.00,1,[234],0.882256031036377,1399.09,[0],27605676#2,159132020#0
A,500,3866.16,1379.00,1,[347],1.0689163208007812,1280.44,[1],684014245#0,-781028918#0
A,500,3096.49,1563.00,1,[273],0.42336201667785645,1379.81,[1],-155768449#2,28028741#8
A,500,1705.08,469.00,1,[231],0.06755661964416504,1125.95,[2],27948101#1,28025131
A,500,2713.52,3348.00,1,[329],0.22118926048278809,1311.64,[0],196371317#1,-79707634#3
